n	n^2		n^3		rad_quad(n)		rad_cub(n)
---------------------------------------------------------------------------
123	15129		1860867		11.0905			4.9732
124	15376		1906624		11.1355			4.9866
125	15625		1953125		11.1803			5.0
126	15876		2000376		11.225			5.0133
127	16129		2048383		11.2694			5.0265
128	16384		2097152		11.3137			5.0397
129	16641		2146689		11.3578			5.0528
130	16900		2197000		11.4018			5.0658
131	17161		2248091		11.4455			5.0788
132	17424		2299968		11.4891			5.0916
133	17689		2352637		11.5326			5.1045
134	17956		2406104		11.5758			5.1172
135	18225		2460375		11.619			5.1299
136	18496		2515456		11.6619			5.1426
137	18769		2571353		11.7047			5.1551
138	19044		2628072		11.7473			5.1676
139	19321		2685619		11.7898			5.1801
140	19600		2744000		11.8322			5.1925
141	19881		2803221		11.8743			5.2048
142	20164		2863288		11.9164			5.2171
143	20449		2924207		11.9583			5.2293
144	20736		2985984		12.0			5.2415
145	21025		3048625		12.0416			5.2536
146	21316		3112136		12.083			5.2656
147	21609		3176523		12.1244			5.2776
148	21904		3241792		12.1655			5.2896
149	22201		3307949		12.2066			5.3015
150	22500		3375000		12.2474			5.3133
151	22801		3442951		12.2882			5.3251
152	23104		3511808		12.3288			5.3368
153	23409		3581577		12.3693			5.3485
154	23716		3652264		12.4097			5.3601
155	24025		3723875		12.4499			5.3717
156	24336		3796416		12.49			5.3832
157	24649		3869893		12.53			5.3947
158	24964		3944312		12.5698			5.4061
159	25281		4019679		12.6095			5.4175
160	25600		4096000		12.6491			5.4288
161	25921		4173281		12.6886			5.4401
162	26244		4251528		12.7279			5.4514
163	26569		4330747		12.7671			5.4626
164	26896		4410944		12.8062			5.4737
165	27225		4492125		12.8452			5.4848
166	27556		4574296		12.8841			5.4959
167	27889		4657463		12.9228			5.5069
168	28224		4741632		12.9615			5.5178
169	28561		4826809		13.0			5.5288
170	28900		4913000		13.0384			5.5397
171	29241		5000211		13.0767			5.5505
172	29584		5088448		13.1149			5.5613
173	29929		5177717		13.1529			5.5721
174	30276		5268024		13.1909			5.5828
175	30625		5359375		13.2288			5.5934
176	30976		5451776		13.2665			5.6041
177	31329		5545233		13.3041			5.6147
178	31684		5639752		13.3417			5.6252
179	32041		5735339		13.3791			5.6357
180	32400		5832000		13.4164			5.6462
181	32761		5929741		13.4536			5.6567
182	33124		6028568		13.4907			5.6671
183	33489		6128487		13.5277			5.6774
184	33856		6229504		13.5647			5.6877
185	34225		6331625		13.6015			5.698
186	34596		6434856		13.6382			5.7083
187	34969		6539203		13.6748			5.7185
188	35344		6644672		13.7113			5.7287
189	35721		6751269		13.7477			5.7388
190	36100		6859000		13.784			5.7489
191	36481		6967871		13.8203			5.759
192	36864		7077888		13.8564			5.769
193	37249		7189057		13.8924			5.779
194	37636		7301384		13.9284			5.789
195	38025		7414875		13.9642			5.7989
196	38416		7529536		14.0			5.8088
197	38809		7645373		14.0357			5.8186
198	39204		7762392		14.0712			5.8285
199	39601		7880599		14.1067			5.8383
200	40000		8000000		14.1421			5.848
201	40401		8120601		14.1774			5.8578
202	40804		8242408		14.2127			5.8675
203	41209		8365427		14.2478			5.8771
204	41616		8489664		14.2829			5.8868
205	42025		8615125		14.3178			5.8964
206	42436		8741816		14.3527			5.9059
207	42849		8869743		14.3875			5.9155
208	43264		8998912		14.4222			5.925
209	43681		9129329		14.4568			5.9345
210	44100		9261000		14.4914			5.9439
211	44521		9393931		14.5258			5.9533
212	44944		9528128		14.5602			5.9627
213	45369		9663597		14.5945			5.9721
214	45796		9800344		14.6287			5.9814
215	46225		9938375		14.6629			5.9907
216	46656		10077696		14.6969			6.0
217	47089		10218313		14.7309			6.0092
218	47524		10360232		14.7648			6.0185
219	47961		10503459		14.7986			6.0277
220	48400		10648000		14.8324			6.0368
221	48841		10793861		14.8661			6.0459
222	49284		10941048		14.8997			6.055
223	49729		11089567		14.9332			6.0641
224	50176		11239424		14.9666			6.0732
225	50625		11390625		15.0			6.0822
226	51076		11543176		15.0333			6.0912
227	51529		11697083		15.0665			6.1002
228	51984		11852352		15.0997			6.1091
229	52441		12008989		15.1327			6.118
230	52900		12167000		15.1658			6.1269
231	53361		12326391		15.1987			6.1358
232	53824		12487168		15.2315			6.1446
233	54289		12649337		15.2643			6.1534
234	54756		12812904		15.2971			6.1622
235	55225		12977875		15.3297			6.171
236	55696		13144256		15.3623			6.1797
237	56169		13312053		15.3948			6.1885
238	56644		13481272		15.4272			6.1972
239	57121		13651919		15.4596			6.2058
240	57600		13824000		15.4919			6.2145
241	58081		13997521		15.5242			6.2231
242	58564		14172488		15.5563			6.2317
243	59049		14348907		15.5885			6.2403
244	59536		14526784		15.6205			6.2488
245	60025		14706125		15.6525			6.2573
246	60516		14886936		15.6844			6.2658
247	61009		15069223		15.7162			6.2743
248	61504		15252992		15.748			6.2828
249	62001		15438249		15.7797			6.2912
250	62500		15625000		15.8114			6.2996
251	63001		15813251		15.843			6.308
252	63504		16003008		15.8745			6.3164
253	64009		16194277		15.906			6.3247
254	64516		16387064		15.9374			6.333
255	65025		16581375		15.9687			6.3413
256	65536		16777216		16.0			6.3496
257	66049		16974593		16.0312			6.3579
258	66564		17173512		16.0624			6.3661
259	67081		17373979		16.0935			6.3743
260	67600		17576000		16.1245			6.3825
261	68121		17779581		16.1555			6.3907
262	68644		17984728		16.1864			6.3988
263	69169		18191447		16.2173			6.407
264	69696		18399744		16.2481			6.4151
265	70225		18609625		16.2788			6.4232
266	70756		18821096		16.3095			6.4312
267	71289		19034163		16.3401			6.4393
268	71824		19248832		16.3707			6.4473
269	72361		19465109		16.4012			6.4553
270	72900		19683000		16.4317			6.4633
271	73441		19902511		16.4621			6.4713
272	73984		20123648		16.4924			6.4792
273	74529		20346417		16.5227			6.4872
274	75076		20570824		16.5529			6.4951
275	75625		20796875		16.5831			6.503
276	76176		21024576		16.6132			6.5108
277	76729		21253933		16.6433			6.5187
278	77284		21484952		16.6733			6.5265
279	77841		21717639		16.7033			6.5343
280	78400		21952000		16.7332			6.5421
281	78961		22188041		16.7631			6.5499
282	79524		22425768		16.7929			6.5577
283	80089		22665187		16.8226			6.5654
284	80656		22906304		16.8523			6.5731
285	81225		23149125		16.8819			6.5808
286	81796		23393656		16.9115			6.5885
287	82369		23639903		16.9411			6.5962
288	82944		23887872		16.9706			6.6039
289	83521		24137569		17.0			6.6115
290	84100		24389000		17.0294			6.6191
291	84681		24642171		17.0587			6.6267
292	85264		24897088		17.088			6.6343
293	85849		25153757		17.1172			6.6419
294	86436		25412184		17.1464			6.6494
295	87025		25672375		17.1756			6.6569
296	87616		25934336		17.2047			6.6644
297	88209		26198073		17.2337			6.6719
298	88804		26463592		17.2627			6.6794
299	89401		26730899		17.2916			6.6869
300	90000		27000000		17.3205			6.6943
301	90601		27270901		17.3494			6.7018
302	91204		27543608		17.3781			6.7092
303	91809		27818127		17.4069			6.7166
304	92416		28094464		17.4356			6.724
305	93025		28372625		17.4642			6.7313
306	93636		28652616		17.4929			6.7387
307	94249		28934443		17.5214			6.746
308	94864		29218112		17.5499			6.7533
309	95481		29503629		17.5784			6.7606
310	96100		29791000		17.6068			6.7679
311	96721		30080231		17.6352			6.7752
312	97344		30371328		17.6635			6.7824
313	97969		30664297		17.6918			6.7897
314	98596		30959144		17.72			6.7969
315	99225		31255875		17.7482			6.8041
316	99856		31554496		17.7764			6.8113
317	100489		31855013		17.8045			6.8185
318	101124		32157432		17.8326			6.8256
319	101761		32461759		17.8606			6.8328
320	102400		32768000		17.8885			6.8399
321	103041		33076161		17.9165			6.847
322	103684		33386248		17.9444			6.8541
323	104329		33698267		17.9722			6.8612
324	104976		34012224		18.0			6.8683
325	105625		34328125		18.0278			6.8753
326	106276		34645976		18.0555			6.8824
327	106929		34965783		18.0831			6.8894
328	107584		35287552		18.1108			6.8964
329	108241		35611289		18.1384			6.9034
330	108900		35937000		18.1659			6.9104
331	109561		36264691		18.1934			6.9174
332	110224		36594368		18.2209			6.9244
333	110889		36926037		18.2483			6.9313
334	111556		37259704		18.2757			6.9382
335	112225		37595375		18.303			6.9451
336	112896		37933056		18.3303			6.9521
337	113569		38272753		18.3576			6.9589
338	114244		38614472		18.3848			6.9658
339	114921		38958219		18.412			6.9727
340	115600		39304000		18.4391			6.9795
341	116281		39651821		18.4662			6.9864
342	116964		40001688		18.4932			6.9932
343	117649		40353607		18.5203			7.0
344	118336		40707584		18.5472			7.0068
345	119025		41063625		18.5742			7.0136
346	119716		41421736		18.6011			7.0203
347	120409		41781923		18.6279			7.0271
348	121104		42144192		18.6548			7.0338
349	121801		42508549		18.6815			7.0406
350	122500		42875000		18.7083			7.0473
351	123201		43243551		18.735			7.054
352	123904		43614208		18.7617			7.0607
353	124609		43986977		18.7883			7.0674
354	125316		44361864		18.8149			7.074
355	126025		44738875		18.8414			7.0807
356	126736		45118016		18.868			7.0873
357	127449		45499293		18.8944			7.094
358	128164		45882712		18.9209			7.1006
359	128881		46268279		18.9473			7.1072
360	129600		46656000		18.9737			7.1138
361	130321		47045881		19.0			7.1204
362	131044		47437928		19.0263			7.1269
363	131769		47832147		19.0526			7.1335
364	132496		48228544		19.0788			7.14
365	133225		48627125		19.105			7.1466
366	133956		49027896		19.1311			7.1531
367	134689		49430863		19.1572			7.1596
368	135424		49836032		19.1833			7.1661
369	136161		50243409		19.2094			7.1726
370	136900		50653000		19.2354			7.1791
371	137641		51064811		19.2614			7.1855
372	138384		51478848		19.2873			7.192
373	139129		51895117		19.3132			7.1984
374	139876		52313624		19.3391			7.2048
375	140625		52734375		19.3649			7.2112
376	141376		53157376		19.3907			7.2177
377	142129		53582633		19.4165			7.224
378	142884		54010152		19.4422			7.2304
379	143641		54439939		19.4679			7.2368
380	144400		54872000		19.4936			7.2432
381	145161		55306341		19.5192			7.2495
382	145924		55742968		19.5448			7.2558
383	146689		56181887		19.5704			7.2622
384	147456		56623104		19.5959			7.2685
385	148225		57066625		19.6214			7.2748
386	148996		57512456		19.6469			7.2811
387	149769		57960603		19.6723			7.2874
388	150544		58411072		19.6977			7.2936
389	151321		58863869		19.7231			7.2999
390	152100		59319000		19.7484			7.3061
391	152881		59776471		19.7737			7.3124
392	153664		60236288		19.799			7.3186
393	154449		60698457		19.8242			7.3248
394	155236		61162984		19.8494			7.331
395	156025		61629875		19.8746			7.3372
396	156816		62099136		19.8997			7.3434
397	157609		62570773		19.9249			7.3496
398	158404		63044792		19.9499			7.3558
399	159201		63521199		19.975			7.3619
400	160000		64000000		20.0			7.3681
401	160801		64481201		20.025			7.3742
402	161604		64964808		20.0499			7.3803
403	162409		65450827		20.0749			7.3864
404	163216		65939264		20.0998			7.3925
405	164025		66430125		20.1246			7.3986
406	164836		66923416		20.1494			7.4047
407	165649		67419143		20.1742			7.4108
408	166464		67917312		20.199			7.4169
409	167281		68417929		20.2237			7.4229
410	168100		68921000		20.2485			7.429
411	168921		69426531		20.2731			7.435
412	169744		69934528		20.2978			7.441
413	170569		70444997		20.3224			7.447
414	171396		70957944		20.347			7.453
415	172225		71473375		20.3715			7.459
416	173056		71991296		20.3961			7.465
417	173889		72511713		20.4206			7.471
418	174724		73034632		20.445			7.477
419	175561		73560059		20.4695			7.4829
420	176400		74088000		20.4939			7.4889
421	177241		74618461		20.5183			7.4948
422	178084		75151448		20.5426			7.5007
423	178929		75686967		20.567			7.5067
424	179776		76225024		20.5913			7.5126
425	180625		76765625		20.6155			7.5185
426	181476		77308776		20.6398			7.5244
427	182329		77854483		20.664			7.5302
428	183184		78402752		20.6882			7.5361
429	184041		78953589		20.7123			7.542
430	184900		79507000		20.7364			7.5478
431	185761		80062991		20.7605			7.5537
432	186624		80621568		20.7846			7.5595
433	187489		81182737		20.8087			7.5654
434	188356		81746504		20.8327			7.5712
435	189225		82312875		20.8567			7.577
436	190096		82881856		20.8806			7.5828
437	190969		83453453		20.9045			7.5886
438	191844		84027672		20.9284			7.5944
439	192721		84604519		20.9523			7.6001
440	193600		85184000		20.9762			7.6059
441	194481		85766121		21.0			7.6117
442	195364		86350888		21.0238			7.6174
443	196249		86938307		21.0476			7.6232
444	197136		87528384		21.0713			7.6289
445	198025		88121125		21.095			7.6346
446	198916		88716536		21.1187			7.6403
447	199809		89314623		21.1424			7.646
448	200704		89915392		21.166			7.6517
449	201601		90518849		21.1896			7.6574
450	202500		91125000		21.2132			7.6631
451	203401		91733851		21.2368			7.6688
452	204304		92345408		21.2603			7.6744
453	205209		92959677		21.2838			7.6801
454	206116		93576664		21.3073			7.6857
455	207025		94196375		21.3307			7.6914
456	207936		94818816		21.3542			7.697
457	208849		95443993		21.3776			7.7026
458	209764		96071912		21.4009			7.7082
459	210681		96702579		21.4243			7.7138
460	211600		97336000		21.4476			7.7194
461	212521		97972181		21.4709			7.725
462	213444		98611128		21.4942			7.7306
463	214369		99252847		21.5174			7.7362
464	215296		99897344		21.5407			7.7418
465	216225		100544625		21.5639			7.7473
466	217156		101194696		21.587			7.7529
467	218089		101847563		21.6102			7.7584
468	219024		102503232		21.6333			7.7639
469	219961		103161709		21.6564			7.7695
470	220900		103823000		21.6795			7.775
471	221841		104487111		21.7025			7.7805
472	222784		105154048		21.7256			7.786
473	223729		105823817		21.7486			7.7915
474	224676		106496424		21.7715			7.797
475	225625		107171875		21.7945			7.8025
476	226576		107850176		21.8174			7.8079
477	227529		108531333		21.8403			7.8134
478	228484		109215352		21.8632			7.8188
479	229441		109902239		21.8861			7.8243
480	230400		110592000		21.9089			7.8297
481	231361		111284641		21.9317			7.8352
482	232324		111980168		21.9545			7.8406
483	233289		112678587		21.9773			7.846
484	234256		113379904		22.0			7.8514
485	235225		114084125		22.0227			7.8568
486	236196		114791256		22.0454			7.8622
487	237169		115501303		22.0681			7.8676
488	238144		116214272		22.0907			7.873
489	239121		116930169		22.1133			7.8784
490	240100		117649000		22.1359			7.8837
491	241081		118370771		22.1585			7.8891
492	242064		119095488		22.1811			7.8944
493	243049		119823157		22.2036			7.8998
494	244036		120553784		22.2261			7.9051
495	245025		121287375		22.2486			7.9105
496	246016		122023936		22.2711			7.9158
497	247009		122763473		22.2935			7.9211
498	248004		123505992		22.3159			7.9264
499	249001		124251499		22.3383			7.9317
500	250000		125000000		22.3607			7.937
501	251001		125751501		22.383			7.9423
502	252004		126506008		22.4054			7.9476
503	253009		127263527		22.4277			7.9528
504	254016		128024064		22.4499			7.9581
505	255025		128787625		22.4722			7.9634
506	256036		129554216		22.4944			7.9686
507	257049		130323843		22.5167			7.9739
508	258064		131096512		22.5389			7.9791
509	259081		131872229		22.561			7.9843
510	260100		132651000		22.5832			7.9896
511	261121		133432831		22.6053			7.9948
512	262144		134217728		22.6274			8.0
513	263169		135005697		22.6495			8.0052
514	264196		135796744		22.6716			8.0104
515	265225		136590875		22.6936			8.0156
516	266256		137388096		22.7156			8.0208
517	267289		138188413		22.7376			8.026
518	268324		138991832		22.7596			8.0311
519	269361		139798359		22.7816			8.0363
520	270400		140608000		22.8035			8.0415
521	271441		141420761		22.8254			8.0466
522	272484		142236648		22.8473			8.0517
523	273529		143055667		22.8692			8.0569
524	274576		143877824		22.891			8.062
525	275625		144703125		22.9129			8.0671
526	276676		145531576		22.9347			8.0723
527	277729		146363183		22.9565			8.0774
528	278784		147197952		22.9783			8.0825
529	279841		148035889		23.0			8.0876
530	280900		148877000		23.0217			8.0927
531	281961		149721291		23.0434			8.0978
532	283024		150568768		23.0651			8.1028
533	284089		151419437		23.0868			8.1079
534	285156		152273304		23.1084			8.113
535	286225		153130375		23.1301			8.118
536	287296		153990656		23.1517			8.1231
537	288369		154854153		23.1733			8.1281
538	289444		155720872		23.1948			8.1332
539	290521		156590819		23.2164			8.1382
540	291600		157464000		23.2379			8.1433
541	292681		158340421		23.2594			8.1483
542	293764		159220088		23.2809			8.1533
543	294849		160103007		23.3024			8.1583
544	295936		160989184		23.3238			8.1633
545	297025		161878625		23.3452			8.1683
546	298116		162771336		23.3666			8.1733
547	299209		163667323		23.388			8.1783
548	300304		164566592		23.4094			8.1833
549	301401		165469149		23.4307			8.1882
550	302500		166375000		23.4521			8.1932
551	303601		167284151		23.4734			8.1982
552	304704		168196608		23.4947			8.2031
553	305809		169112377		23.516			8.2081
554	306916		170031464		23.5372			8.213
555	308025		170953875		23.5584			8.218
556	309136		171879616		23.5797			8.2229
557	310249		172808693		23.6008			8.2278
558	311364		173741112		23.622			8.2327
559	312481		174676879		23.6432			8.2377
560	313600		175616000		23.6643			8.2426
561	314721		176558481		23.6854			8.2475
562	315844		177504328		23.7065			8.2524
563	316969		178453547		23.7276			8.2573
564	318096		179406144		23.7487			8.2621
565	319225		180362125		23.7697			8.267
566	320356		181321496		23.7908			8.2719
567	321489		182284263		23.8118			8.2768
568	322624		183250432		23.8328			8.2816
569	323761		184220009		23.8537			8.2865
570	324900		185193000		23.8747			8.2913
571	326041		186169411		23.8956			8.2962
572	327184		187149248		23.9165			8.301
573	328329		188132517		23.9374			8.3059
574	329476		189119224		23.9583			8.3107
575	330625		190109375		23.9792			8.3155
576	331776		191102976		24.0			8.3203
577	332929		192100033		24.0208			8.3251
578	334084		193100552		24.0416			8.33
579	335241		194104539		24.0624			8.3348
580	336400		195112000		24.0832			8.3396
581	337561		196122941		24.1039			8.3443
582	338724		197137368		24.1247			8.3491
583	339889		198155287		24.1454			8.3539
584	341056		199176704		24.1661			8.3587
585	342225		200201625		24.1868			8.3634
586	343396		201230056		24.2074			8.3682
587	344569		202262003		24.2281			8.373
588	345744		203297472		24.2487			8.3777
589	346921		204336469		24.2693			8.3825
590	348100		205379000		24.2899			8.3872
591	349281		206425071		24.3105			8.3919
592	350464		207474688		24.3311			8.3967
593	351649		208527857		24.3516			8.4014
594	352836		209584584		24.3721			8.4061
595	354025		210644875		24.3926			8.4108
596	355216		211708736		24.4131			8.4155
597	356409		212776173		24.4336			8.4202
598	357604		213847192		24.454			8.4249
599	358801		214921799		24.4745			8.4296
600	360000		216000000		24.4949			8.4343
601	361201		217081801		24.5153			8.439
602	362404		218167208		24.5357			8.4437
603	363609		219256227		24.5561			8.4484
604	364816		220348864		24.5764			8.453
605	366025		221445125		24.5967			8.4577
606	367236		222545016		24.6171			8.4623
607	368449		223648543		24.6374			8.467
608	369664		224755712		24.6577			8.4716
609	370881		225866529		24.6779			8.4763
610	372100		226981000		24.6982			8.4809
611	373321		228099131		24.7184			8.4856
612	374544		229220928		24.7386			8.4902
613	375769		230346397		24.7588			8.4948
614	376996		231475544		24.779			8.4994
615	378225		232608375		24.7992			8.504
616	379456		233744896		24.8193			8.5086
617	380689		234885113		24.8395			8.5132
618	381924		236029032		24.8596			8.5178
619	383161		237176659		24.8797			8.5224
620	384400		238328000		24.8998			8.527
621	385641		239483061		24.9199			8.5316
622	386884		240641848		24.9399			8.5362
623	388129		241804367		24.96			8.5408
624	389376		242970624		24.98			8.5453
625	390625		244140625		25.0			8.5499
626	391876		245314376		25.02			8.5544
627	393129		246491883		25.04			8.559
628	394384		247673152		25.0599			8.5635
629	395641		248858189		25.0799			8.5681
630	396900		250047000		25.0998			8.5726
631	398161		251239591		25.1197			8.5772
632	399424		252435968		25.1396			8.5817
633	400689		253636137		25.1595			8.5862
634	401956		254840104		25.1794			8.5907
635	403225		256047875		25.1992			8.5952
636	404496		257259456		25.219			8.5997
637	405769		258474853		25.2389			8.6043
638	407044		259694072		25.2587			8.6088
639	408321		260917119		25.2784			8.6132
640	409600		262144000		25.2982			8.6177
641	410881		263374721		25.318			8.6222
642	412164		264609288		25.3377			8.6267
643	413449		265847707		25.3574			8.6312
644	414736		267089984		25.3772			8.6357
645	416025		268336125		25.3969			8.6401
646	417316		269586136		25.4165			8.6446
647	418609		270840023		25.4362			8.649
648	419904		272097792		25.4558			8.6535
649	421201		273359449		25.4755			8.6579
650	422500		274625000		25.4951			8.6624
651	423801		275894451		25.5147			8.6668
652	425104		277167808		25.5343			8.6713
653	426409		278445077		25.5539			8.6757
654	427716		279726264		25.5734			8.6801
655	429025		281011375		25.593			8.6845
656	430336		282300416		25.6125			8.689
657	431649		283593393		25.632			8.6934
658	432964		284890312		25.6515			8.6978
659	434281		286191179		25.671			8.7022
660	435600		287496000		25.6905			8.7066
661	436921		288804781		25.7099			8.711
662	438244		290117528		25.7294			8.7154
663	439569		291434247		25.7488			8.7198
664	440896		292754944		25.7682			8.7241
665	442225		294079625		25.7876			8.7285
666	443556		295408296		25.807			8.7329
667	444889		296740963		25.8263			8.7373
668	446224		298077632		25.8457			8.7416
669	447561		299418309		25.865			8.746
670	448900		300763000		25.8844			8.7503
671	450241		302111711		25.9037			8.7547
672	451584		303464448		25.923			8.759
673	452929		304821217		25.9422			8.7634
674	454276		306182024		25.9615			8.7677
675	455625		307546875		25.9808			8.7721
676	456976		308915776		26.0			8.7764
677	458329		310288733		26.0192			8.7807
678	459684		311665752		26.0384			8.785
679	461041		313046839		26.0576			8.7893
680	462400		314432000		26.0768			8.7937
681	463761		315821241		26.096			8.798
682	465124		317214568		26.1151			8.8023
683	466489		318611987		26.1343			8.8066
684	467856		320013504		26.1534			8.8109
685	469225		321419125		26.1725			8.8152
686	470596		322828856		26.1916			8.8194
687	471969		324242703		26.2107			8.8237
688	473344		325660672		26.2298			8.828
689	474721		327082769		26.2488			8.8323
690	476100		328509000		26.2679			8.8366
691	477481		329939371		26.2869			8.8408
692	478864		331373888		26.3059			8.8451
693	480249		332812557		26.3249			8.8493
694	481636		334255384		26.3439			8.8536
695	483025		335702375		26.3629			8.8578
696	484416		337153536		26.3818			8.8621
697	485809		338608873		26.4008			8.8663
698	487204		340068392		26.4197			8.8706
699	488601		341532099		26.4386			8.8748
700	490000		343000000		26.4575			8.879
701	491401		344472101		26.4764			8.8833
702	492804		345948408		26.4953			8.8875
703	494209		347428927		26.5141			8.8917
704	495616		348913664		26.533			8.8959
705	497025		350402625		26.5518			8.9001
706	498436		351895816		26.5707			8.9043
707	499849		353393243		26.5895			8.9085
708	501264		354894912		26.6083			8.9127
709	502681		356400829		26.6271			8.9169
710	504100		357911000		26.6458			8.9211
711	505521		359425431		26.6646			8.9253
712	506944		360944128		26.6833			8.9295
713	508369		362467097		26.7021			8.9337
714	509796		363994344		26.7208			8.9378
715	511225		365525875		26.7395			8.942
716	512656		367061696		26.7582			8.9462
717	514089		368601813		26.7769			8.9503
718	515524		370146232		26.7955			8.9545
719	516961		371694959		26.8142			8.9587
720	518400		373248000		26.8328			8.9628
721	519841		374805361		26.8514			8.967
722	521284		376367048		26.8701			8.9711
723	522729		377933067		26.8887			8.9752
724	524176		379503424		26.9072			8.9794
725	525625		381078125		26.9258			8.9835
726	527076		382657176		26.9444			8.9876
727	528529		384240583		26.9629			8.9918
728	529984		385828352		26.9815			8.9959
729	531441		387420489		27.0			9.0
730	532900		389017000		27.0185			9.0041
731	534361		390617891		27.037			9.0082
732	535824		392223168		27.0555			9.0123
733	537289		393832837		27.074			9.0164
734	538756		395446904		27.0924			9.0205
735	540225		397065375		27.1109			9.0246
736	541696		398688256		27.1293			9.0287
737	543169		400315553		27.1477			9.0328
738	544644		401947272		27.1662			9.0369
739	546121		403583419		27.1846			9.041
740	547600		405224000		27.2029			9.045
741	549081		406869021		27.2213			9.0491
742	550564		408518488		27.2397			9.0532
743	552049		410172407		27.258			9.0572
744	553536		411830784		27.2764			9.0613
745	555025		413493625		27.2947			9.0654
746	556516		415160936		27.313			9.0694
747	558009		416832723		27.3313			9.0735
748	559504		418508992		27.3496			9.0775
749	561001		420189749		27.3679			9.0816
